maxIteration,Clusters,Workers,ByteSize,RecordCount,FeaturesCount,ExecutionSpeed,Accuracy,Algorithm
25,5,4,880,10,10,0.44348978996276855,3.7410230541203635,KMeans
25,5,4,880,10,10,2.875232458114624,3.9839776254678907,BisectingKMeans
25,5,4,880,10,10,1.3905525207519531,4.36726502522232,GaussianMixture
50,5,4,880,10,10,0.4292628765106201,3.7410230541203635,KMeans
50,5,4,880,10,10,5.299825191497803,3.9839776254678907,BisectingKMeans
50,5,4,880,10,10,2.408238172531128,389.20612827033347,GaussianMixture
10,2,4,2080,10,25,1.0280098915100098,22.36580102274362,KMeans
10,2,4,2080,10,25,0.8096065521240234,23.56171209795442,BisectingKMeans
10,2,4,2080,10,25,0.8653090000152588,-185.75616868774088,GaussianMixture
25,2,4,2080,10,25,0.8391640186309814,22.365801022743625,KMeans
